id,short_code,name,github_link,oomp_key,md5_6
electronic_header_2d54_mm_12_pin_right_angle,hi112pra,Electronic Header 2D54 Mm 12 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_12_pin_right_angle,oomp_electronic_header_2d54_mm_12_pin_right_angle,7ba6c5
electronic_header_2d54_mm_12_pin_surface_mount,hi112psm,Electronic Header 2D54 Mm 12 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_12_pin_surface_mount,oomp_electronic_header_2d54_mm_12_pin_surface_mount,9eab67
electronic_header_2d54_mm_12_pin,hi112p,Electronic Header 2D54 Mm 12 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_12_pin,oomp_electronic_header_2d54_mm_12_pin,07fd4d
electronic_header_2d54_mm_12_pin_surface_mount_right_angle,hi112psmra,Electronic Header 2D54 Mm 12 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_12_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_12_pin_surface_mount_right_angle,91d979
electronic_header_2d54_mm_13_pin_right_angle,hi113pra,Electronic Header 2D54 Mm 13 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_13_pin_right_angle,oomp_electronic_header_2d54_mm_13_pin_right_angle,535ee4
electronic_header_2d54_mm_13_pin_surface_mount,hi113psm,Electronic Header 2D54 Mm 13 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_13_pin_surface_mount,oomp_electronic_header_2d54_mm_13_pin_surface_mount,9d30d2
electronic_header_2d54_mm_13_pin,hi113p,Electronic Header 2D54 Mm 13 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_13_pin,oomp_electronic_header_2d54_mm_13_pin,77edef
electronic_header_2d54_mm_13_pin_surface_mount_right_angle,hi113psmra,Electronic Header 2D54 Mm 13 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_13_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_13_pin_surface_mount_right_angle,7bade8
electronic_header_2d54_mm_14_pin_right_angle,hi114pra,Electronic Header 2D54 Mm 14 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_14_pin_right_angle,oomp_electronic_header_2d54_mm_14_pin_right_angle,a25e2f
electronic_header_2d54_mm_14_pin_surface_mount,hi114psm,Electronic Header 2D54 Mm 14 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_14_pin_surface_mount,oomp_electronic_header_2d54_mm_14_pin_surface_mount,435fec
electronic_header_2d54_mm_14_pin,hi114p,Electronic Header 2D54 Mm 14 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_14_pin,oomp_electronic_header_2d54_mm_14_pin,7b4705
electronic_header_2d54_mm_14_pin_surface_mount_right_angle,hi114psmra,Electronic Header 2D54 Mm 14 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_14_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_14_pin_surface_mount_right_angle,867699
electronic_header_2d54_mm_15_pin_right_angle,hi115pra,Electronic Header 2D54 Mm 15 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_15_pin_right_angle,oomp_electronic_header_2d54_mm_15_pin_right_angle,a296f7
electronic_header_2d54_mm_15_pin_surface_mount,hi115psm,Electronic Header 2D54 Mm 15 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_15_pin_surface_mount,oomp_electronic_header_2d54_mm_15_pin_surface_mount,0b02ac
electronic_header_2d54_mm_15_pin,hi115p,Electronic Header 2D54 Mm 15 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_15_pin,oomp_electronic_header_2d54_mm_15_pin,ccffd7
electronic_header_2d54_mm_15_pin_surface_mount_right_angle,hi115psmra,Electronic Header 2D54 Mm 15 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_15_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_15_pin_surface_mount_right_angle,ba6cac
electronic_header_2d54_mm_16_pin_right_angle,hi116pra,Electronic Header 2D54 Mm 16 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_16_pin_right_angle,oomp_electronic_header_2d54_mm_16_pin_right_angle,9f1f3b
electronic_header_2d54_mm_16_pin_surface_mount,hi116psm,Electronic Header 2D54 Mm 16 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_16_pin_surface_mount,oomp_electronic_header_2d54_mm_16_pin_surface_mount,e42795
electronic_header_2d54_mm_16_pin,hi116p,Electronic Header 2D54 Mm 16 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_16_pin,oomp_electronic_header_2d54_mm_16_pin,052ffe
